edinet_code,ticker,name_ja,name_en,industry,listed,search_text
E00004,13760,カネコ種苗株式会社,"KANEKO SEEDS CO., LTD.","Fishery, Agriculture & Forestry",True,"カネコ種苗株式会社 kaneko seeds co., ltd. 13760"
E00006,13770,株式会社　サカタのタネ,SAKATA SEED CORPORATION,"Fishery, Agriculture & Forestry",True,株式会社　サカタのタネ sakata seed corporation 13770
E00007,13750,ユキグニファクトリー株式会社,"YUKIGUNI FACTORY CO.,LTD.","Fishery, Agriculture & Forestry",True,"ユキグニファクトリー株式会社 yukiguni factory co.,ltd. 13750"
E00008,13790,ホクト株式会社,HOKUTO CORPORATION,"Fishery, Agriculture & Forestry",True,ホクト株式会社 hokuto corporation 13790
E00009,13810,株式会社アクシーズ,"AXYZ Co., Ltd","Fishery, Agriculture & Forestry",True,"株式会社アクシーズ axyz co., ltd 13810"
E00010,13820,株式会社ホーブ,"HOB Co.,Ltd.","Fishery, Agriculture & Forestry",True,"株式会社ホーブ hob co.,ltd. 13820"
E00011,19110,住友林業株式会社,"Sumitomo Forestry Co.,Ltd.",Construction,True,"住友林業株式会社 sumitomo forestry co.,ltd. 19110"
E00012,13010,株式会社　極洋,"KYOKUYO CO., LTD.","Fishery, Agriculture & Forestry",True,"株式会社　極洋 kyokuyo co., ltd. 13010"
E00014,13320,株式会社ニッスイ,Nissui Corporation,"Fishery, Agriculture & Forestry",True,株式会社ニッスイ nissui corporation 13320
E00015,13330,マルハニチロ株式会社,Maruha Nichiro Corporation,"Fishery, Agriculture & Forestry",True,マルハニチロ株式会社 maruha nichiro corporation 13330
E00017,,株式会社ホウスイ,HOHSUI  CORPORATION,Wholesale Trade,False,株式会社ホウスイ hohsui  corporation 
E00021,57110,三菱マテリアル株式会社,MITSUBISHI MATERIALS CORPORATION,Nonferrous Metals,True,三菱マテリアル株式会社 mitsubishi materials corporation 57110
E00023,57130,住友金属鉱山株式会社,"Sumitomo Metal Mining Co., Ltd.",Nonferrous Metals,True,"住友金属鉱山株式会社 sumitomo metal mining co., ltd. 57130"
E00024,57060,三井金属鉱業株式会社,"Mitsui Mining and Smelting Company, Limited",Nonferrous Metals,True,"三井金属鉱業株式会社 mitsui mining and smelting company, limited 57060"
E00026,57290,日本精鉱株式会社,"NIHON SEIKO CO.,LTD.",Nonferrous Metals,True,"日本精鉱株式会社 nihon seiko co.,ltd. 57290"
E00027,14910,中外鉱業株式会社,"Chugai Mining Co.,Ltd.",Nonferrous Metals,True,"中外鉱業株式会社 chugai mining co.,ltd. 14910"
E00028,57140,ＤＯＷＡホールディングス株式会社,"DOWA HOLDINGS CO.,LTD.",Nonferrous Metals,True,"ｄｏｗａホールディングス株式会社 dowa holdings co.,ltd. 57140"
E00030,33150,日本コークス工業株式会社,"NIPPON COKE & ENGINEERING CO., LTD.",Oil & Coal Products,True,"日本コークス工業株式会社 nippon coke & engineering co., ltd. 33150"
E00032,57150,古河機械金属株式会社,"FURUKAWA CO.,LTD.",Nonferrous Metals,True,"古河機械金属株式会社 furukawa co.,ltd. 57150"
E00033,,常磐興産株式会社,"Joban Kosan Co.,Ltd.",Services,False,"常磐興産株式会社 joban kosan co.,ltd. "
E00034,88350,太平洋興発株式会社,TAIHEIYO KOUHATSU INCORPORATED,Wholesale Trade,True,太平洋興発株式会社 taiheiyo kouhatsu incorporated 88350
E00035,70210,株式会社ニッチツ,"NITCHITSU CO.,LTD.",Machinery,True,"株式会社ニッチツ nitchitsu co.,ltd. 70210"
E00036,15150,日鉄鉱業株式会社,"Nittetsu Mining CO.,Ltd.",Mining,True,"日鉄鉱業株式会社 nittetsu mining co.,ltd. 15150"
E00037,15180,三井松島ホールディングス株式会社,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",Other Products,True,"三井松島ホールディングス株式会社 mitsui matsushima holdings co.,ltd. 15180"
E00041,16620,石油資源開発株式会社,"Japan Petroleum Exploration Co., Ltd.",Mining,True,"石油資源開発株式会社 japan petroleum exploration co., ltd. 16620"
E00043,16050,株式会社ＩＮＰＥＸ,INPEX CORPORATION,Mining,True,株式会社ｉｎｐｅｘ inpex corporation 16050
E00045,,大室温泉株式会社,"Omuro spa Co. , Ltd",Mining,False,"大室温泉株式会社 omuro spa co. , ltd "
E00048,19250,大和ハウス工業株式会社,"DAIWA HOUSE INDUSTRY CO., LTD.",Construction,True,"大和ハウス工業株式会社 daiwa house industry co., ltd. 19250"
E00049,,株式会社ＮＩＰＰＯ,NIPPO CORPORATION,Construction,False,株式会社ｎｉｐｐｏ nippo corporation 
E00050,,日本コムシス株式会社,日本コムシス株式会社,Others,False,日本コムシス株式会社  
E00051,,前田建設工業株式会社,MAEDA CORPORATION,Construction,False,前田建設工業株式会社 maeda corporation 
E00052,18010,大成建設株式会社,taisei corporation,Construction,True,大成建設株式会社 taisei corporation 18010
E00053,18030,清水建設株式会社,SHIMIZU CORPORATION,Construction,True,清水建設株式会社 shimizu corporation 18030
E00055,18020,株式会社大林組,OBAYASHI  CORPORATION,Construction,True,株式会社大林組 obayashi  corporation 18020
E00056,18610,株式会社　熊谷組,"Kumagaigumi Co.,Ltd.",Construction,True,"株式会社　熊谷組 kumagaigumi co.,ltd. 18610"
E00057,,佐藤工業株式会社,Sato Construction Co.,Others,False,佐藤工業株式会社 sato construction co. 
E00058,18120,鹿島建設株式会社,KAJIMA  CORPORATION,Construction,True,鹿島建設株式会社 kajima  corporation 18120
E00059,18870,日本国土開発株式会社,JDC CORPORATION,Construction,True,日本国土開発株式会社 jdc corporation 18870
E00060,18200,西松建設株式会社,"Nishimatsu Construction  Co., Ltd.",Construction,True,"西松建設株式会社 nishimatsu construction  co., ltd. 18200"
E00061,,前田道路株式会社,"MAEDA ROAD CONSTRUCTION CO.,LTD.",Construction,False,"前田道路株式会社 maeda road construction co.,ltd. "
E00063,,飛島建設株式会社,TOBISHIMA CORPORATION,Construction,False,飛島建設株式会社 tobishima corporation 
E00064,18100,松井建設株式会社,"MATSUI CONSTRUCTION CO., LTD.",Construction,True,"松井建設株式会社 matsui construction co., ltd. 18100"
E00065,18150,鉄建建設株式会社,TEKKEN CORPORATION,Construction,True,鉄建建設株式会社 tekken corporation 18150
E00066,18820,東亜道路工業株式会社,TOA ROAD CORPORATION,Construction,True,東亜道路工業株式会社 toa road corporation 18820
E00067,18840,日本道路株式会社,"THE NIPPON ROAD CO.,LTD.",Construction,True,"日本道路株式会社 the nippon road co.,ltd. 18840"
E00069,18110,株式会社錢高組,THE ZENITAKA CORPORATION,Construction,True,株式会社錢高組 the zenitaka corporation 18110
E00073,19410,株式会社中電工,CHUDENKO CORPORATION,Construction,True,株式会社中電工 chudenko corporation 19410
E00074,19420,株式会社関電工,"KANDENKO CO.,LTD.",Construction,True,"株式会社関電工 kandenko co.,ltd. 19420"
E00075,19440,株式会社きんでん,KINDEN CORPORATION,Construction,True,株式会社きんでん kinden corporation 19440
E00076,19460,株式会社トーエネック,TOENEC CORPORATION,Construction,True,株式会社トーエネック toenec corporation 19460
E00078,,日本工営株式会社,"Nippon Koei Co., Ltd.",Services,False,"日本工営株式会社 nippon koei co., ltd. "
E00079,18920,徳倉建設株式会社,Tokura Construction Co.,Construction,True,徳倉建設株式会社 tokura construction co. 18920
E00080,18850,東亜建設工業株式会社,TOA CORPORATION,Construction,True,東亜建設工業株式会社 toa corporation 18850
E00081,18880,若築建設株式会社,"WAKACHIKU CONSTRUCTION CO.,LTD.",Construction,True,"若築建設株式会社 wakachiku construction co.,ltd. 18880"
E00082,18900,東洋建設株式会社,"TOYO CONSTRUCTION CO.,LTD.",Construction,True,"東洋建設株式会社 toyo construction co.,ltd. 18900"
E00083,18330,株式会社奥村組,OKUMURA CORPORATION,Construction,True,株式会社奥村組 okumura corporation 18330
E00085,18210,三井住友建設株式会社,"Sumitomo Mitsui Construction Co.,Ltd.",Construction,True,"三井住友建設株式会社 sumitomo mitsui construction co.,ltd. 18210"
E00086,18930,五洋建設株式会社,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",Construction,True,"五洋建設株式会社 penta-ocean construction co.,ltd. 18930"
E00090,18080,株式会社　長谷工コーポレーション,HASEKO Corporation,Construction,True,株式会社　長谷工コーポレーション haseko corporation 18080
E00091,,中央ビルト工業株式会社,"CHUO BUILD INDUSTRY CO.,LTD.",Metal Products,False,"中央ビルト工業株式会社 chuo build industry co.,ltd. "
E00092,19450,株式会社東京エネシス,TOKYO ENERGY & SYSTEMS INC.,Construction,True,株式会社東京エネシス tokyo energy & systems inc. 19450
E00093,18140,大末建設株式会社,"DAISUE CONSTRUCTION CO., LTD.",Construction,True,"大末建設株式会社 daisue construction co., ltd. 18140"
E00094,19510,エクシオグループ株式会社,"EXEO Group, Inc.",Construction,True,"エクシオグループ株式会社 exeo group, inc. 19510"
E00095,18220,大豊建設株式会社,DAIHO CORPORATION,Construction,True,大豊建設株式会社 daiho corporation 18220
E00097,18130,株式会社不動テトラ,Fudo Tetra Corporation,Construction,True,株式会社不動テトラ fudo tetra corporation 18130
E00098,19260,ライト工業株式会社,"RAITO KOGYO CO., LTD.",Construction,True,"ライト工業株式会社 raito kogyo co., ltd. 19260"
